"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_BEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULT_ATUAL_BEM_CANDIDATO";"HH_ULT_ATUAL_BEM_CANDIDATO"
"06/07/2026";"02:15:51";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"02/10/2022";"AC";"AC";"ACRE";10001606495;1;12;"Casa";"[REDACTED-BY-GOVFOLIO: free-text asset description, original contained a full street address + CEP — see docs/regimes/br/AUTHORITY.md personal_data_to_redact]";"30000,00";"02/10/2022";"23:21:28"
"06/07/2026";"02:15:51";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"02/10/2022";"AC";"AC";"ACRE";10001606499;1;12;"Casa";"[REDACTED-BY-GOVFOLIO: free-text asset description, original contained a full street address — see docs/regimes/br/AUTHORITY.md personal_data_to_redact]";"130000,00";"02/10/2022";"23:21:28"
"06/07/2026";"02:15:51";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"02/10/2022";"AC";"AC";"ACRE";10001606500;2;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"Moto Factor ano 2012";"3000,00";"02/10/2022";"23:21:28"
"06/07/2026";"02:15:51";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"02/10/2022";"AC";"AC";"ACRE";10001606500;3;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"Moto Factor ano 2019";"13000,00";"02/10/2022";"23:21:28"
"06/07/2026";"02:15:51";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"02/10/2022";"AC";"AC";"ACRE";10001606500;1;12;"Casa";"[REDACTED-BY-GOVFOLIO: free-text asset description, original contained a full street address + CEP — see docs/regimes/br/AUTHORITY.md personal_data_to_redact]";"150000,00";"02/10/2022";"23:21:28"
"06/07/2026";"02:15:51";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"02/10/2022";"AC";"AC";"ACRE";10001606502;2;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"[REDACTED-BY-GOVFOLIO: free-text asset description, original contained a vehicle license plate — see docs/regimes/br/AUTHORITY.md personal_data_to_redact]";"5000,00";"19/12/2022";"13:09:46"
"06/07/2026";"02:15:51";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"02/10/2022";"AC";"AC";"ACRE";10001606502;3;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"[REDACTED-BY-GOVFOLIO: free-text asset description, original contained a vehicle license plate — see docs/regimes/br/AUTHORITY.md personal_data_to_redact]";"9000,00";"19/12/2022";"13:09:46"
"06/07/2026";"02:15:51";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"02/10/2022";"AC";"AC";"ACRE";10001606502;1;2;"Prédio comercial";"[REDACTED-BY-GOVFOLIO: free-text asset description, original contained a full street address + CNPJ — see docs/regimes/br/AUTHORITY.md personal_data_to_redact]";"300000,00";"19/12/2022";"13:09:46"
"06/07/2026";"02:15:51";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"02/10/2022";"AC";"AC";"ACRE";10001606506;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"Moto Honda/Pop 100";"7000,00";"02/10/2022";"23:21:28"
"06/07/2026";"02:15:51";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"02/10/2022";"AC";"AC";"ACRE";10001606511;2;24;"Bem relacionado com o exercício da atividade autônoma";"Equipamento Fotográfico";"5000,00";"02/10/2022";"23:21:28"
